cachent;2
pétrole;1
pointencore;1
uns;15
uneattaque;1
cespromenades;1
embrassée;1
nuit-là;2
poneys;2
nuit;82
angoisse;3
achetée;1
grosbleu;1
insupportablemois;1
revenais;1
dix-sept;3
jambières;1
crusoé;1
classe:;3
supérieurs;1
économiser;1
sigrave;1
réalité;1
agrippait;1
toutle;2
agrippais;1
djà;1
délicatementdessiné;1
avoirendormi;1
fermé;6
lerejoindrait;1
reparlions;1
suffoquait;1
étangs;2
bancs;9
poneysenrubannés;1
menace;1
lapremière;3
récréations;1
derègle;1
rallumé;1
calmes;2
lesgenoux;1
cuir;3
calmer;1
cloche-pied;1
levertige;1
fers:;1
nousavions;3
passionné;1
appartements;2
clapotis;1
regardait;22
regardais;6
tourelle;5
bavards;1
bande;5
remuer;1
grévy;1
touche;1
remuais;1
remuait;1
barbiche;1
pours;1
dos;20
uncoin;1
commise;1
pourl;3
audessin;1
ceci:;1
autrespoussant;1
bandée;3
restaient;5
bandés;1
fâcheries;1
bavarde;2
deuxlanternes;1
épars;2
triste:mes;1
appliquer;1
lorsquemon;1
lundi;3
cigarette;1
boulangerqui;1
approchade;1
aentrevu;1
dimanchesd;1
lapompe;1
retiens;1
unpanier;1
delage;2
queses;1
revenait;8
vousdescendrez;1
àsuffoquer;1
pantomime;5
laprésence;1
surprenait;1
lourde;8
venuesdu;1
dépassait;1
angoissé;1
peut-il;1
trombone;1
effrayer;3
répondit-il;9
premières;3
main;84
mais;310
paletot;6
enété;1
pénombre;1
mange;2
hiver-là;2
écharpe;1
commemoi;1
vallée;2
revenus;1
ferme;24
espadrilles;4
inconnus;5
coin-coin;1
inconnue;2
meaulnespoursuivit;1
cortège;1
ferma;3
forteenvie;1
crier;13
quepossible;1
faisait:;1
obtenir;2
nezdroit;1
écarquillée;1
laisserla;1
gigot;1
ajoncs;2
institutrices;2
craquements;1
disposa;1
tombante;2
dansaient;1
endormaient;1
devoix;1
avaitabandonné;1
ilarrive;1
étudiant;2
suivions;1
transformer;1
ilarriva;1
stridente;1
arrière;8
naguère;5
épave;3
ellel;1
touché;1
troublés;1
elles;23
lesgrands;2
neconnaisse;1
rentier;1
surprirent;1
loin;45
vert-de-gris;1
manuscrit;1
chemindes;2
revenant;6
vousaccueilleront;1
celui-ci;5
déplaît;1
arrêtèrent;2
tousinstallés;1
brûlerez;1
boîte;2
cheminée;10
sainte-agathe:;1
avaittravaillé;2
école:;1
peignés;1
augure;1
ilavait;6
dizaine;2
rasantles;1
relis;1
mardis;1
mllede;1
oùles;2
vaguetristesse;1
dur;7
dut;9
pashabitués;1
dus;5
defagots;1
laisser;8
secrète;3
commis;1
notrevoyageur;1
bienpensé;1
onclefirmin;1
poussasans;1
brisés;1
indulgente;1
revois;5
banc;16
revoir;11
nousglaçait;1
dansant;1
mystérieux;15
traversait;4
traversais;1
grandeboutique;1
entrait;2
bals;1
hasardeux;1
ordinaireà;1
lessoirs;1
sursaut;1
nichent;1
unique;2
alliez;1
enveloppant;2
aujardin;1
concerté;1
installés;1
allier;1
meaulnespréparer;1
tiroirs;2
enroute;1
examiner;3
revivait;1
ornementés;1
sedistraire;1
voituriers;1
long;39
épines;1
suspendu;1
bonheur;28
ilsoulevait;1
desortir;1
désormais;4
inutile;4
fripant;1
silencieusementpar;1
untaillis;1
delassos;1
pensais:;1
croiséesur;1
arlequin;1
vinrent;1
vachers;2
lafaçon;1
lasso;1
friper;1
entrepreneur;1
dupropre;1
lasse;1
puissant;1
ordures;1
pensait:;1
examina;1
tempsque;1
pochesboutonnées;1
soitjamais;1
ordinaires;1
acceptait;1
visqueuse;1
entrant;1
agent;1
interrompait;3
curé;1
bas:;4
àelle-même;1
laisse-le;1
lesauver;1
longeâmes;1
reconnûmes;2
fièvreet;1
abattu;3
redressant;2
fer-blanc;1
cuillers;1
cejeudi-là;1
dumas;5
disparurent;1
dédale;4
voirmeaulnes;1
enclos;1
surprise;3
entraînai;1
réduisait;1
pèlerine;5
bienl;1
coudes;2
chapons;1
achevait;1
chansonnettes;1
blanche;8
ressemblaient:;1
trèsminces;1
traversant;1
dansait;1
blanchi;1
naufrages;1
laissai;1
fièvrede;1
dedistraire;1
cachettes;1
réparer;3
délier;1
fièvre;8
ruminait;1
arrivâmes;3
jedevins;1
brui;1
maîtrerégnait;1
coulisse;1
échantillons;1
lecoude;1
promettait;1
inspectait;2
promeneur;2
cruellement;1
vieuxgreffier;1
jepense;1
attaqué;1
plussolennel;1
bandoulière;1
épaule:;2
suisparti;1
porcelaine;1
pointégaré;1
mars;2
préparatifs;3
brillaient;1
prétendant;1
lamerveilleuse;1
mare;1
bougies;1
marc;2
mari;3
appartienneplus;1
grêle;1
dents;7
matinale;1
trempant;1
etrésisté;1
attrouper;1
appel;4
blancet;1
stupéfaction;1
luiserrer;1
amassé;1
enfanttriste;1
uneeau;1
jardinet;1
désireux;2
enhâte;1
crasseuse;1
tombé;1
asseyant;2
develours;1
dedispute;1
légèrementemphatique:;1
installât;1
toutbas;1
assaillants;3
avezpu;1
dressés;3
extraordinaires;2
fripéesde;1
indice;1
épaules;16
vas;3
passagedu;1
deviendrai;2
lacour;7
enfilade;1
dressée;1
sautillant;1
étaitganache;2
voyageentre;1
courier;2
avance;8
branche;4
lors;1
réussi;4
maladroites;1
longuespromenades;1
dessinés;1
gaillard;1
étaitune;3
rapportant;1
concerta;1
vieilledemeure;1
pleurante;1
incompréhensibles;1
nesubsistait;1
